Description	
Number of Runs	1
Preset Time	100
Pause Time	0
Alarm Level	0
High Voltage	550
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	550	19146	100	03/03/26 09:47:37 AM	
2	550	34734	100	03/03/26 09:50:34 AM	
3	550	16610	100	03/03/26 09:52:48 AM	
4	550	19988	100	03/03/26 09:54:55 AM	
5	550	36527	100	03/03/26 09:57:08 AM	
6	550	18106	100	03/03/26 09:59:21 AM	
7	550	19822	100	03/03/26 10:01:28 AM	
8	550	37083	100	03/03/26 10:03:36 AM	
9	550	18136	100	03/03/26 10:05:44 AM	
10	550	21552	100	03/03/26 10:07:49 AM	
11	550	37226	100	03/03/26 10:09:58 AM	
12	550	18981	100	03/03/26 10:12:00 AM	
