Description	
Number of Runs	150
Preset Time	10
Pause Time	0
Alarm Level	0
High Voltage	550
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
130	550	0	10	02/17/26 09:09:59 AM	
131	550	4	10	02/17/26 09:10:09 AM	
132	550	1	10	02/17/26 09:10:19 AM	
133	550	1	10	02/17/26 09:10:30 AM	
134	550	1	10	02/17/26 09:10:40 AM	
135	550	4	10	02/17/26 09:10:50 AM	
136	550	3	10	02/17/26 09:11:00 AM	
137	550	4	10	02/17/26 09:11:10 AM	
138	550	0	10	02/17/26 09:11:21 AM	
139	550	1	10	02/17/26 09:11:31 AM	
140	550	3	10	02/17/26 09:11:41 AM	
141	550	2	10	02/17/26 09:11:51 AM	
142	550	4	10	02/17/26 09:12:01 AM	
143	550	4	10	02/17/26 09:12:12 AM	
144	550	2	10	02/17/26 09:12:22 AM	
145	550	2	10	02/17/26 09:12:32 AM	
146	550	2	10	02/17/26 09:12:42 AM	
147	550	5	10	02/17/26 09:12:53 AM	
148	550	2	10	02/17/26 09:13:03 AM	
149	550	2	10	02/17/26 09:13:13 AM	
150	550	3	10	02/17/26 09:13:23 AM	
