Espesor(g/cm2)  Error[Espesor(g/cm2)] Cuentas/s   Error[Cuentas/s]

17.2               0.                    5.4           0.4
15.4               0.                    6.2           0.6
13.7               0.                    7.4           0.6
12.0               0.                    8.4           0.6
10.3               0.                    10.3          0.6
8.6                0.                    11.7          0.6
6.9                0.                    14.6          0.8
5.1                0.                    15.7          0.8
3.4                0.                    19.0          0.8
1.7                0.                    21.8          0.9
0.0                0.                    27.1          0.9
